Time(ms), ID, Bus, Data
232590184,453,0,2CB52CB5B25C
232590340,499,0,80BC00
232590551,500,0,000000000000
232590666,568,0,6B
232590820,647,0,430001
232591010,840,0,0000000000
232591249,707,0,066306620000CA00
232591442,842,0,0000000000
232591696,560,0,0000000000000000
232591941,969,0,0706000000000000
232592141,711,0,033FBCBF7000
232592385,977,0,014E800020000000
232592615,1519,0,FDBF02AAAAAAAAAA
232592836,979,0,800020005FFE3B
232593046,988,0,81000A000000
232593286,1001,0,00001929000018ED
232594172,241,0,161500400000
232595706,546,0,0099048A033831
232595955,550,0,8000000000000000
232596187,193,0,501D7CBE1331CDCA
232596412,197,0,D38B18DA1258B7B9
232596625,209,0,40367FC90CF300
232596774,320,0,520201
232596905,389,0,181A
232597131,454,0,349D349D00432D8B
232597379,456,0,43FF0000FFFF3C00
232597614,485,0,5CEF3E30000001F5
232597823,532,0,000203FE0000
232598066,558,0,0000000000006A00
232598181,568,0,6B
232598406,761,0,00010708000107
232598710,170,0,2CB62CB606534700
232598959,171,0,0000000000000000
232599167,190,0,0A140005ABEA
232599325,199,0,43F0F776
232599574,201,0,8000002A00011800
232599704,211,0,2CB4
232599889,352,0,DF7311FB03
232600110,390,0,04005D08000180
232600350,493,0,01A9000000001B8A
232600551,495,0,00000000
232601629,1105,0,000000000000
232603386,189,0,01CC13F1CC00FF
232603541,479,0,800200
232603785,501,0,0C0C000400000900
232604195,241,0,221500400000
232605770,193,0,601D7CBE2331CDCA
232605993,197,0,E38B18DA2258B7B9
232606210,209,0,8036BFC80CF200
232606457,456,0,83FF0000FFFE3BFF
232606694,485,0,5CEF3E5000000215
232606934,298,0,10E0706C00001081
232607181,489,0,0FFC000E00008000
232607415,508,0,0237FF770042523A
232607585,528,0,020001FF
232607773,566,0,04DF400018
232607888,568,0,6B
232608126,989,0,0000009F88020492
232608419,563,0,0000000000
232609228,481,0,000000000010F0
232611310,170,0,2CB52CB500534B00
232611562,171,0,0000000000000000
232611764,190,0,0E140005ABE9
232611924,199,0,43F0F776
232612170,201,0,8000002D00011800
232612297,211,0,2CB5
232612528,417,0,00004100000000
232612749,390,0,04005D08000180
232612868,419,0,00
232613108,493,0,01A9000000001B8A
232613320,426,0,08662694663000
232613490,495,0,00000000
232613725,451,0,06630662FF200002
232613916,1221,0,0000000000
232614156,452,0,2762C073020007FF
232614359,241,0,3E1500400000
232614550,453,0,2CB52CB5B25C
232614766,500,0,000000000000
232614918,647,0,820001
232615899,193,0,701D7CBE3331CDCA
232616121,197,0,F38B18DA3258B7B9
232616340,209,0,C034FFC90CF100
232616469,389,0,181A
232616697,454,0,349D349D00832D8A
232616926,309,0,02001362210D1311
232617169,456,0,C3FF0000FFFD3BFE
232617403,485,0,5CEF3E7000000235
232617517,568,0,6B
232617718,711,0,033FBBBF7000
232617957,844,0,E9AB0000001A0FFC
232618129,866,0,00000000
232618350,995,0,C7C76CA56901C7
232618499,554,0,4E9403
232619094,499,0,C0FC00
232621627,1257,0,E100009DD700
232623593,170,0,2CB62CB602534900
232623846,171,0,0000000000000000
232624048,190,0,02140005ABEC
232624209,199,0,43F0F776
232624452,201,0,8000002000011800
232624584,211,0,2CB4
232624786,241,0,0A1500400000
232625009,390,0,04005D08000180
232625249,493,0,01A9000000001B8A
232625423,495,0,00000000
232625655,193,0,401D7CBE0331CDCA
232625885,197,0,C38B18DA0258B7B9
232626100,209,0,00353FCB0CF400
232626350,456,0,03FF000000003C01
232626587,485,0,5CEF3E10000001D5
232626819,311,0,0F0196AF02F31009
232627067,489,0,0FFC000E00008000
232627307,562,0,0000200800120022
232627422,568,0,6B
232628315,1273,0,000000
232628536,189,0,01CC13F1CC00FF
232628690,479,0,800200
232628937,501,0,0C0C000400000900
232629164,1249,0,4855313033393434
232629410,961,0,0765F78000000000
232629676,1225,0,40330000000000
232629908,1910,0,00170000000000
232631663,1322,0,03241C3C403C
232634152,241,0,161500400000
232635682,193,0,501D7CBE1331CDCA
232635909,197,0,D38B18DA1258B7B9
232636123,209,0,40337FCC0CF300
232636352,170,0,2CB62CB604534800
232636602,171,0,0000000000000000
232636809,190,0,06140005ABEB
232636969,199,0,43F0F776
232637210,201,0,8000002700011800
232637340,211,0,2CB5
232637588,313,0,0000000000000000
232637719,389,0,181A
232637943,390,0,04005D08000180
232638172,417,0,00004100000000
232638402,454,0,349D349D00C32D89
232638517,419,0,00
232638763,456,0,43FF0000FFFF3C00
232638977,426,0,08662694663000
232639212,485,0,5CEF3E30000001F5
232639448,451,0,06630662FF300001
232639669,481,0,000000000114E0
232639907,452,0,4A62C073040005FE
232640149,493,0,01A9000000001B8A
232640338,453,0,2CB62CB6B25C
232640509,495,0,00000000
232640724,500,0,000000000000
232640836,568,0,6B
232640992,647,0,C10001
232641184,840,0,0000000000
232641423,707,0,066306620000CA00
232641615,842,0,0000000000
232641866,560,0,0000100000001FFF
232642066,711,0,033FBCBF7000
232642298,1300,0,4731524336533530
232644183,241,0,221705400000
232645835,193,0,601D7CBE2331CDCA
232646059,197,0,E38B18DA2258B7B9
232646275,209,0,8034BFCA0CF200
232646522,456,0,83FF0000FFFE3BFF
232646756,485,0,5CEF3E5000000215
232647006,489,0,0FFC000E00008000
232647163,499,0,003C00
232647365,532,0,020423FB241F
232647479,568,0,6B
232647704,761,0,00010A0800020A
232648409,381,0,222442FF0000
232648703,170,0,2CB72CB706534600
232648954,171,0,0000000000000000
232649160,190,0,0A140005ABEA
232649318,199,0,43F0F776
232649567,201,0,8000002A00011800
232649694,211,0,2CB5
232649935,493,0,01A9000000001B8A
232650158,390,0,04005D08000180
232650329,495,0,00000000
232650556,810,0,0A31B73565C4CEBA
232651615,1323,0,9A189919
232653506,189,0,01CC13F1CC00FF
232653657,479,0,800200
232653906,501,0,0C0C000400000900
232654223,241,0,3E1500400000
232655849,193,0,701D7CBE3331CDCA
232656070,197,0,F38B18DA3258B7B9
232656289,209,0,C030FFCD0CF100
232656418,389,0,181A
232656646,454,0,349D349D00032D8C
232656891,456,0,C3FF0000FFFD3BFE
232657123,485,0,5CEF3E7000000235
232657361,508,0,024CFFA20040A282
232657531,528,0,040001FE
232657645,568,0,6B
232657820,1328,0,00000000
232658325,567,0,221203
232661133,171,0,0000000000000000
232661299,199,0,43F0F776
232661532,170,0,2CB82CB800534800
232661661,211,0,2CB6
232661865,190,0,0E140005ABE9
232662086,390,0,04005D0800017F
232662332,201,0,8000002D00011800
232662562,417,0,00004100000000
232662802,493,0,01A9000000001B8A
232662918,419,0,00
232663091,495,0,00000000
232663303,426,0,08662694663000
232663543,451,0,06630662FF000000
232663783,452,0,6D62C073060003FD
232663976,453,0,2CB82CB8B25C
232664181,241,0,0A1500400000
232664393,500,0,000000000000
232664606,1005,0,0000000000FF
232664757,647,0,000001
232665776,193,0,401D7CBE0331CDCA
232666004,197,0,C38B18DA0258B7B9
232666218,209,0,00313FCF0CF400
232666468,456,0,03FF000000003C01
232666704,485,0,5CEF3E10000001D5
232666927,481,0,000000000218D0
232667175,489,0,0FFC000E00008000
232667291,568,0,6B
232667490,711,0,033FBBBF7000
232667731,844,0,F1AC0000001A0FFC
232667903,866,0,00000000
232668353,564,0,0000000000
232673604,170,0,2CB82CB802534700
232673856,171,0,0000000000000000
232674060,190,0,02140005ABEC
232674219,199,0,43F0F776
232674464,201,0,8000002000011800
232674597,211,0,2CB7
232674801,241,0,161500400000
232675022,390,0,04005D08000180
232675262,493,0,01A9000000001B8A
232675438,495,0,00000000
232675697,193,0,501D7CBE1331CDCA
232675920,197,0,D38B18DA1258B7B9
232676137,209,0,40317FCE0CF300
232676265,389,0,1819
232676493,454,0,349D349D00432D8B
232676741,456,0,43FF0000FFFF3C00
232676975,485,0,5CEF3E30000001F5
232677220,497,0,A21200000800007A
232677459,562,0,0000200800120022
232677574,568,0,6B
232678355,189,0,01CC13F1CC00FF
232678599,386,0,11FB010000000000
232678753,479,0,800200
232679001,501,0,0C0C000400000900
232679155,499,0,407C00
232681665,1105,0,000000000000
232684179,241,0,221500400000
232685527,193,0,601D7CBE2331CDCA
232685751,197,0,E38B18DA2258B7B9
232685966,209,0,8032BFCC0CF200
232686199,170,0,2CB82CB804534600
232686448,171,0,0000000000000000
232686656,190,0,06140005ABEB
232686815,199,0,43F0F776
232687057,201,0,8000002700011800
232687189,211,0,2CB7
232687421,417,0,00004100000000
232687642,390,0,04005D08000180
232687757,419,0,00
232688006,456,0,83FF0000FFFE3BFF
232688217,426,0,08662694663000
232688452,485,0,5CEF3E5000000215
232688687,451,0,06630662FF100003
232688934,489,0,0FFC000E00008000
232689178,452,0,0062C07300000000
232689417,493,0,01A9000000001B8A
232689609,453,0,2CB82CB8B25C
232689783,495,0,00000000
232689994,500,0,000000000000
232690110,568,0,6B
232690261,647,0,430001
232690452,840,0,0000000000
232690691,707,0,066306620000CA00
232690885,842,0,0000000000
232691131,560,0,0000200000001FFE
232691378,969,0,0706000000000000
232691622,977,0,014E800020000000
232691847,979,0,800020007FFD3B
232692046,711,0,033FBBBF7000
232692257,988,0,81000A000000
232692496,1001,0,00001929000018ED
232694181,241,0,3E1500400000
232695948,193,0,701D7CBE3331CDCA
232696170,197,0,F38B18DA3258B7B9
232696389,209,0,C02DFFD00CF100
232696520,389,0,1819
232696704,352,0,DF7311FB03
232696931,454,0,349D349D00832D8A
232697175,456,0,C3FF0000FFFD3BFE
232697409,485,0,5CEF3E7000000235
232697609,532,0,040243FC482A
232697823,546,0,00994492033832
232698063,558,0,5000000000006A01
232698179,568,0,6B
232698398,761,0,00010D0800010D
232698590,565,0,0000000000
232698820,170,0,2CB72CB706534600
232699069,171,0,0000000000000000
232699277,190,0,0A140005ABEA
232699435,199,0,43F0F776
232699684,201,0,8000002A00011800
232699813,211,0,2CB7
232700036,481,0,00000000031CC0
232700260,390,0,04005D08000180
232700499,493,0,01A9000000001B8A
232700712,495,0,00000000
232703476,189,0,01CC13F1CC00FF
232703631,479,0,800200
232703891,501,0,0C0C000400000900
